generation,best_fitness,mean_fitness,train_accuracy,val_accuracy,elapsed_s
121,0.850966,0.849794,0.854849,0.789203,0.749
122,0.851046,0.849699,0.853565,0.789203,0.752
123,0.851311,0.850013,0.852922,0.791774,0.755
124,0.851311,0.849874,0.852922,0.791774,0.759
125,0.851708,0.85014,0.856134,0.791774,0.763
126,0.851708,0.850663,0.856134,0.791774,0.767
127,0.851772,0.850635,0.856134,0.791774,0.772
128,0.851857,0.850572,0.855491,0.789203,0.776
129,0.85189,0.850851,0.854849,0.789203,0.779
130,0.852145,0.850862,0.854207,0.789203,0.782
131,0.852278,0.850701,0.853565,0.791774,0.784
132,0.85239,0.850781,0.852922,0.794344,0.79
133,0.85262,0.850761,0.854207,0.789203,0.795
134,0.852773,0.851329,0.854207,0.794344,0.798
135,0.852773,0.851671,0.854207,0.794344,0.802
136,0.85298,0.851696,0.856134,0.789203,0.807
137,0.853081,0.851665,0.855491,0.789203,0.81
138,0.853081,0.851785,0.855491,0.789203,0.812
139,0.853269,0.85153,0.856776,0.796915,0.814
140,0.853269,0.85189,0.856776,0.796915,0.819
141,0.853493,0.851754,0.855491,0.796915,0.824
142,0.853591,0.851798,0.85806,0.796915,0.829
143,0.85381,0.852112,0.856776,0.794344,0.834
144,0.853966,0.852305,0.857418,0.796915,0.836
145,0.854027,0.852274,0.857418,0.796915,0.84
146,0.854027,0.852732,0.857418,0.796915,0.845
147,0.854162,0.8523,0.857418,0.796915,0.852
148,0.854223,0.852881,0.85806,0.796915,0.857
149,0.854392,0.853232,0.85806,0.796915,0.862
150,0.854392,0.852603,0.85806,0.796915,0.867
151,0.854433,0.852799,0.858703,0.791774,0.873
152,0.854495,0.853005,0.855491,0.786632,0.875
153,0.85486,0.852862,0.85806,0.799486,0.878
154,0.8549,0.853422,0.859345,0.796915,0.882
155,0.854909,0.852815,0.859345,0.796915,0.885
156,0.855191,0.853747,0.855491,0.791774,0.888
157,0.855191,0.853244,0.855491,0.791774,0.89
158,0.855423,0.853345,0.856776,0.799486,0.892
159,0.855529,0.853942,0.859987,0.796915,0.898
160,0.855568,0.854212,0.859987,0.796915,0.901
161,0.855669,0.853707,0.859345,0.799486,0.904
162,0.855669,0.854469,0.859345,0.799486,0.91
163,0.855844,0.8541,0.858703,0.796915,0.916
164,0.855844,0.853921,0.858703,0.796915,0.919
165,0.855844,0.854059,0.858703,0.796915,0.922
166,0.855844,0.853816,0.858703,0.796915,0.925
167,0.855939,0.854601,0.856776,0.796915,0.928
168,0.856114,0.853768,0.856134,0.799486,0.931
169,0.856332,0.854318,0.860629,0.802057,0.936
170,0.856439,0.854574,0.860629,0.799486,0.942
171,0.856439,0.854793,0.860629,0.799486,0.945
172,0.856439,0.854963,0.860629,0.799486,0.948
173,0.856732,0.855219,0.861272,0.799486,0.95
174,0.856732,0.854789,0.861272,0.799486,0.954
175,0.856826,0.854972,0.861272,0.799486,0.957
176,0.856976,0.855208,0.861914,0.804627,0.959
177,0.857327,0.854838,0.863198,0.802057,0.964
178,0.85739,0.855079,0.863198,0.799486,0.966
179,0.857579,0.855593,0.862556,0.799486,0.969
180,0.857692,0.855698,0.861272,0.804627,0.971
181,0.857858,0.855632,0.861914,0.804627,0.977
182,0.857858,0.855474,0.861914,0.804627,0.982
183,0.857963,0.855617,0.859987,0.802057,0.987
184,0.858209,0.856264,0.864483,0.804627,0.99
185,0.858209,0.856345,0.864483,0.804627,0.995
186,0.858247,0.856152,0.861914,0.804627,1.0
187,0.858247,0.856367,0.861914,0.804627,1.005
188,0.858271,0.856654,0.863198,0.809769,1.01
189,0.858377,0.856439,0.863198,0.804627,1.016
190,0.858532,0.856115,0.865125,0.799486,1.018
191,0.858556,0.856008,0.865125,0.807198,1.021
192,0.858854,0.856519,0.864483,0.804627,1.025
193,0.858854,0.856546,0.864483,0.804627,1.028
194,0.85891,0.85648,0.860629,0.799486,1.031
195,0.85904,0.857164,0.862556,0.809769,1.035
196,0.859102,0.856679,0.860629,0.804627,1.04
197,0.859288,0.85662,0.861914,0.804627,1.042
198,0.859341,0.856764,0.865125,0.804627,1.045
199,0.859366,0.857204,0.861272,0.794344,1.048
200,0.859994,0.857284,0.86641,0.812339,1.05
201,0.859994,0.856928,0.86641,0.812339,1.055
202,0.859994,0.857353,0.86641,0.812339,1.06
203,0.859994,0.857196,0.86641,0.812339,1.065
204,0.860059,0.857588,0.862556,0.804627,1.07
205,0.860089,0.857679,0.863841,0.804627,1.073
