generation,best_fitness,mean_fitness,train_accuracy,val_accuracy,elapsed_s
0,0.640364,0.492088,0.737315,0.732648,0.342
1,0.641415,0.586679,0.750803,0.732648,0.403
2,0.673984,0.626249,0.774566,0.732648,0.407
3,0.697018,0.656023,0.843288,0.77635,0.412
4,0.711093,0.677203,0.820167,0.773779,0.416
5,0.726921,0.700609,0.838793,0.755784,0.418
6,0.738371,0.716487,0.830443,0.771208,0.42
7,0.747309,0.729502,0.825305,0.773779,0.423
8,0.757559,0.737732,0.844573,0.77892,0.425
9,0.76364,0.748798,0.842004,0.745501,0.43
10,0.774772,0.757895,0.831085,0.773779,0.432
11,0.776702,0.767251,0.845215,0.768638,0.436
12,0.781335,0.772233,0.836866,0.77892,0.438
13,0.787677,0.776652,0.845857,0.77635,0.443
14,0.79074,0.782381,0.843288,0.77635,0.445
15,0.794333,0.787404,0.845215,0.77892,0.448
16,0.797981,0.789558,0.844573,0.768638,0.452
17,0.80286,0.793028,0.8465,0.781491,0.454
18,0.806052,0.796118,0.845857,0.781491,0.459
19,0.807545,0.799575,0.845857,0.781491,0.464
20,0.811905,0.804064,0.845857,0.784062,0.468
21,0.814058,0.806503,0.845857,0.784062,0.472
22,0.815327,0.809802,0.844573,0.781491,0.477
23,0.81683,0.811652,0.8465,0.784062,0.479
24,0.818084,0.813336,0.8465,0.784062,0.483
25,0.819137,0.814148,0.845857,0.781491,0.488
26,0.820185,0.815471,0.845215,0.784062,0.491
27,0.821849,0.816794,0.845215,0.781491,0.496
28,0.822514,0.818517,0.8465,0.784062,0.498
29,0.822946,0.819196,0.844573,0.784062,0.503
30,0.823792,0.820221,0.845857,0.781491,0.507
31,0.825864,0.822033,0.845857,0.784062,0.509
32,0.826169,0.822875,0.844573,0.77892,0.514
33,0.828027,0.823766,0.845215,0.784062,0.516
34,0.828027,0.825069,0.845215,0.784062,0.521
35,0.828141,0.825825,0.845215,0.784062,0.525
36,0.829858,0.825829,0.845857,0.784062,0.53
37,0.830624,0.826597,0.845215,0.789203,0.535
38,0.830644,0.827631,0.8465,0.781491,0.539
39,0.831318,0.82877,0.845215,0.784062,0.541
40,0.831964,0.829811,0.845215,0.784062,0.543
41,0.832956,0.829474,0.8465,0.784062,0.546
42,0.833427,0.830915,0.845857,0.786632,0.548
43,0.833577,0.831128,0.845215,0.784062,0.55
44,0.834049,0.831722,0.844573,0.784062,0.553
45,0.834826,0.831938,0.844573,0.77635,0.555
46,0.835285,0.832955,0.847142,0.77892,0.558
47,0.836003,0.833626,0.845857,0.784062,0.56
48,0.836169,0.834135,0.845857,0.789203,0.563
49,0.836842,0.834496,0.8465,0.784062,0.568
50,0.837668,0.834697,0.8465,0.789203,0.571
51,0.838078,0.836078,0.847142,0.784062,0.576
52,0.83858,0.836589,0.848426,0.784062,0.578
